THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Genès;ECOLE MATERNELLE ET ELEMENTAIRE SAINT GENES;163;160 rue de Saint Genès, 33000 Bordeaux;;;-0,58090838514396;44,8249040592416
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Joseph de Tivoli;ECOLE MATERNELLE ET ELEMENTAIRE SAINT JOSEPH DE TIVOLI;164;40 ave d'Eysines, 33200 Bordeaux;;;-0,596906072789333;44,8536781651991
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Sainte Marie Grand Lebrun;ECOLE MATERNELLE ET ELEMENTAIRE SAINTE MARIE GRAND LEBRUN;166;164 ave Charles de Gaulle, 33200 Bordeaux;;;-0,606068659450576;44,850293018859
éducation;Ecoles primaires publiques;Ecole Elémentaire André Meunier;ECOLE ELEMENTAIRE ANDRE MEUNIER;170;26-28 rue des Douves, 33800 Bordeaux;;;-0,564260914414194;44,8303432322149
éducation;Ecoles primaires publiques;Ecole Elémentaire Loucheur;ECOLE ELEMENTAIRE LOUCHEUR;171;rue Marcel Issartier, 33000 Bordeaux;;;-0,600037341138788;44,8223444562493
éducation;Ecoles primaires publiques;Ecole Elémentaire Condorcet;ECOLE ELEMENTAIRE CONDORCET;4;rue Condorcet, 33300 Bordeaux;;;-0,579259471243062;44,859383664244
éducation;Ecoles primaires publiques;Ecole Maternelle Fieffé;ECOLE MATERNELLE FIEFFE;7;58 rue Fieffé, 33800 Bordeaux;;;-0,560901355779213;44,8240793037428
éducation;Ecoles primaires publiques;Ecole Maternelle Pierre Trébot;ECOLE MATERNELLE PIERRE TREBOT;8;rue Pierre Trébot, 33300 Bordeaux;;;-0,585095077259788;44,8598757457137
éducation;Ecoles primaires publiques;Ecole Elémentaire Achard;ECOLE ELEMENTAIRE ACHARD;9;12 rue Lartigue, 33300 Bordeaux;;;-0,547860264617536;44,8716693120422
éducation;Ecoles primaires publiques;Ecole Elémentaire Thiers;ECOLE ELEMENTAIRE THIERS;14;315 ave Thiers, 33100 Bordeaux;;;-0,543280631977446;44,8501460501298
éducation;Ecoles primaires publiques;Ecole Elémentaire Somme;ECOLE ELEMENTAIRE SOMME;15;294 crs de la Somme, 33800 Bordeaux;;;-0,572096310579154;44,8181703464995
éducation;Ecoles primaires publiques;Ecole Maternelle Paul Bert;ECOLE MATERNELLE PAUL BERT;16;3 rue Paul Bert, 33000 Bordeaux;;;-0,574358572983837;44,8361945224202
éducation;Ecoles primaires publiques;Ecole Maternelle Achard;ECOLE MATERNELLE ACHARD;19;165 rue Achard, 33300 Bordeaux;;;-0,547715592422604;44,8718169868364
éducation;Ecoles primaires publiques;Ecole Elémentaire Bel Air;ECOLE ELEMENTAIRE BEL AIR;27;3 rue Victor Caffin, 33200 Bordeaux;;;-0,607776436230809;44,8391213922746
éducation;Ecoles primaires publiques;Ecole Maternelle Benauge;ECOLE MATERNELLE BENAUGE;29;cite de la Benauge, 33100 Bordeaux;;;-0,545140137651899;44,8457506335697
éducation;Ecoles primaires publiques;Ecole Elémentaire Labarde;ECOLE ELEMENTAIRE LABARDE;30;156 ave de Labarde, 33300 Bordeaux;;;-0,551671264693196;44,8819201587296
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Sainte Thérèse;ECOLE MATERNELLE ET ELEMENTAIRE SAINTE THERESE;31;17 rue du Fils, 33000 Bordeaux;;;-0,612164395976106;44,8237697168904
éducation;Ecoles primaires publiques;Ecole Maternelle Bernard Adour;ECOLE MATERNELLE BERNARD ADOUR;32;119 rue Bernard Adour, 33200 Bordeaux;;;-0,60528320263513;44,8386175543527
éducation;Ecoles primaires publiques;Ecole Elémentaire Jules Ferry;ECOLE ELEMENTAIRE JULES FERRY;33;101 rue Jules Ferry, 33200 Bordeaux;;;-0,60621525470459;44,8430601295443
éducation;Ecoles primaires publiques;Ecole Elémentaire Charles Martin;ECOLE ELEMENTAIRE CHARLES MARTIN;34;83 rue Charles Martin, 33300 Bordeaux;;;-0,552906150475585;44,8746138800864
éducation;Ecoles primaires publiques;Ecole Elémentaire Vieux Bordeaux;ECOLE ELEMENTAIRE VIEUX BORDEAUX;35;rue Dieu, 33000 Bordeaux;;;-0,571084424383803;44,8416165572332
éducation;Ecoles primaires publiques;Ecole Elémentaire Albert Thomas;ECOLE ELEMENTAIRE ALBERT THOMAS;37;24 rue Albert Thomas, 33000 Bordeaux;;;-0,597233845508405;44,8287639037142
éducation;Ecoles primaires publiques;Ecole Maternelle Béchade;ECOLE MATERNELLE BECHADE;38;9 rue de Madagascar, 33000 Bordeaux;;;-0,59690192289528;44,8256747331573
éducation;Ecoles primaires publiques;Ecole Elémentaire Dupaty;ECOLE ELEMENTAIRE DUPATY;39;74 rue Joséphine, 33300 Bordeaux;;;-0,561415451039343;44,860543394683
éducation;Ecoles primaires publiques;Ecole Maternelle Jules Ferry;ECOLE MATERNELLE JULES FERRY;40;100 rue Jules Ferry, 33200 Bordeaux;;;-0,605574618244184;44,8426532126679
éducation;Ecoles primaires publiques;Ecole Maternelle Le Point du Jour;ECOLE MATERNELLE LE POINT DU JOUR;41;2 rue Barillet Deschamps, 33300 Bordeaux;;;-0,549418601934002;44,8801574975953
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Notre Dame;ECOLE MATERNELLE ET ELEMENTAIRE NOTRE DAME;42;2 rue de Toulouse Lautrec, 33000 Bordeaux;;;-0,580123456243713;44,8401839562396
éducation;Ecoles primaires publiques;Ecole Maternelle Pins Francs;ECOLE MATERNELLE PINS FRANCS;43;2 rue Jude, 33200 Bordeaux;;;-0,625245894819354;44,8592149156134
éducation;Ecoles primaires publiques;Ecole Maternelle Montgolfier;ECOLE MATERNELLE MONTGOLFIER;44;15 rue Montgolfier, 33000 Bordeaux;;;-0,577306705403472;44,8522022943475
éducation;Ecoles primaires publiques;Ecole Elémentaire Franc Sanson;ECOLE ELEMENTAIRE FRANC SANSON;45;104 quai de la Souys, 33100 Bordeaux;;;-0,544057925089921;44,8307042514915
éducation;Ecoles primaires publiques;Ecole Maternelle Raymond Poincaré;ECOLE MATERNELLE RAYMOND POINCARE;46;ave Raymond Poincaré, 33200 Bordeaux;;;-0,62022064967946;44,8444498073337
éducation;Ecoles primaires publiques;Ecole Maternelle Lac II;ECOLE MATERNELLE LAC II;47;rue du Petit Miot, 33300 Bordeaux;;;-0,569182164427155;44,8729006785022
éducation;Ecoles primaires publiques;Ecole Maternelle Joséphine;ECOLE MATERNELLE JOSEPHINE;49;46 rue Joséphine, 33300 Bordeaux;;;-0,562261648480828;44,8599909357878
éducation;Ecoles primaires publiques;Ecole Maternelle Jean Cocteau;ECOLE MATERNELLE JEAN COCTEAU;50;47 rue de l'Ecole Normale, 33200 Bordeaux;;;-0,600606287875099;44,8483173178771
