CLE;COMMUNE;DOMANIALITE;NATURE;NOMBRE;OBSERVATIONS;PROPRIETAIRE;QUARTIER;REALISATION;X_LONG;Y_LAT;GEOMETRIE
19780;BORDEAUX;Voirie;Arceau vélo;8;COTE FLEUVE;CUB;1;Réalisé;-0,567053675078279;44,8534866366902;POINT (-0.567053675078279 44.8534866366902)
19781;BORDEAUX;Voirie;Arceau vélo;10;COTE FLEUVE;CUB;1;Réalisé;-0,566858937995596;44,8536446141374;POINT (-0.566858937995596 44.8536446141374)
19783;BORDEAUX;Voirie;Arceau vélo;16;FACE RUE RAZE;CUB;1;Réalisé;-0,569226767015758;44,8513610849576;POINT (-0.569226767015758 44.8513610849576)
19784;BORDEAUX;Voirie;Arceau vélo;16;JUSQU A LA RUE BORIE;CUB;1;Réalisé;-0,567114184770766;44,8534310527188;POINT (-0.567114184770766 44.8534310527188)
19785;BORDEAUX;Voirie;Arceau vélo;16;DEVANT GLOB THEATRE;CUB;1;Réalisé;-0,563186618917334;44,8597516468217;POINT (-0.563186618917334 44.8597516468217)
19787;BORDEAUX;Voirie;Arceau vélo;26;face chapeau rouge;CUB;3;Réalisé;-0,57022067461648;44,8426538414698;POINT (-0.57022067461648 44.8426538414698)
19810;BORDEAUX;Voirie;Arceau vélo;60;secteur;CUB;7;Réalisé;-0,562715823244903;44,8487150431614;POINT (-0.562715823244903 44.8487150431614)
19815;BORDEAUX;Voirie;Arceau vélo;12;maison de quartier;CUB;7;Réalisé;-0,560393289657602;44,8445823526673;POINT (-0.560393289657602 44.8445823526673)
19818;BORDEAUX;Voirie;Arceau vélo;4;en face;CUB;7;Réalisé;-0,552489379752897;44,8418124163712;POINT (-0.552489379752897 44.8418124163712)
19822;BORDEAUX;Voirie;Arceau vélo;16;;CUB;7;Réalisé;-0,542748688183026;44,8439643140953;POINT (-0.542748688183026 44.8439643140953)
